model,model_slug,intervention_target,lambda,direction,factual_accuracy_pct,counterfactual_accuracy_pct,Image Valid Examples,Text Valid Examples,mean_kl
LLaVA-NeXT,llava-next,Paired head intervention,-3.0,Favor visual evidence,15.935334872979212,84.06466512702079,433,431,10.413130760192873
LLaVA-NeXT,llava-next,Paired head intervention,-2.5,Favor visual evidence,16.39722863741339,83.60277136258661,433,431,9.990147590637209
LLaVA-NeXT,llava-next,Paired head intervention,-2.0,Favor visual evidence,17.51152073732719,82.48847926267281,434,431,9.5306396484375
LLaVA-NeXT,llava-next,Paired head intervention,-1.5,Favor visual evidence,17.972350230414747,82.02764976958525,434,431,8.69257640838623
LLaVA-NeXT,llava-next,Paired head intervention,-1.0,Favor visual evidence,19.354838709677423,80.64516129032258,434,431,7.656117916107178
LLaVA-NeXT,llava-next,Paired head intervention,-0.5,Favor visual evidence,20.967741935483872,79.03225806451613,434,431,5.780088901519775
LLaVA-NeXT,llava-next,Paired head intervention,0.0,Baseline,22.811059907834093,77.18894009216591,434,432,0.0
LLaVA-NeXT,llava-next,Paired head intervention,0.5,Favor parametric knowledge,25.404157043879906,74.5958429561201,433,432,6.033577919006348
LLaVA-NeXT,llava-next,Paired head intervention,1.0,Favor parametric knowledge,31.712962962962962,68.28703703703704,432,431,8.510522842407227
LLaVA-NeXT,llava-next,Paired head intervention,1.5,Favor parametric knowledge,41.9953596287703,58.0046403712297,431,431,10.095406532287598
LLaVA-NeXT,llava-next,Paired head intervention,2.0,Favor parametric knowledge,57.10843373493976,42.89156626506024,415,431,10.967227935791016
LLaVA-NeXT,llava-next,Paired head intervention,2.5,Favor parametric knowledge,66.91919191919192,33.08080808080808,396,431,11.33449649810791
LLaVA-NeXT,llava-next,Paired head intervention,3.0,Favor parametric knowledge,74.2627345844504,25.7372654155496,373,430,11.657876014709473
Gemma3,gemma3,Paired head intervention,-3.0,Favor visual evidence,16.097560975609753,83.90243902439025,410,386,20.613643646240234
Gemma3,gemma3,Paired head intervention,-2.5,Favor visual evidence,16.38141809290954,83.61858190709046,409,396,20.018674850463867
Gemma3,gemma3,Paired head intervention,-2.0,Favor visual evidence,16.136919315403418,83.86308068459658,409,405,19.472713470458984
Gemma3,gemma3,Paired head intervention,-1.5,Favor visual evidence,16.425120772946855,83.57487922705315,414,418,18.776615142822266
Gemma3,gemma3,Paired head intervention,-1.0,Favor visual evidence,16.34615384615384,83.65384615384616,416,419,18.18238067626953
Gemma3,gemma3,Paired head intervention,-0.5,Favor visual evidence,17.067307692307693,82.9326923076923,416,417,17.981273651123047
Gemma3,gemma3,Paired head intervention,0.0,Baseline,18.225419664268586,81.77458033573141,417,416,17.874530792236328
Gemma3,gemma3,Paired head intervention,0.5,Favor parametric knowledge,18.978102189781026,81.02189781021897,411,415,17.961557388305664
Gemma3,gemma3,Paired head intervention,1.0,Favor parametric knowledge,23.5,76.5,400,411,18.768871307373047
Gemma3,gemma3,Paired head intervention,1.5,Favor parametric knowledge,50.44510385756676,49.55489614243324,337,410,19.41737365722656
Gemma3,gemma3,Paired head intervention,2.0,Favor parametric knowledge,73.85892116182572,26.14107883817428,241,408,19.80560874938965
Gemma3,gemma3,Paired head intervention,2.5,Favor parametric knowledge,81.53846153846153,18.461538461538463,195,406,20.3501091003418
Gemma3,gemma3,Paired head intervention,3.0,Favor parametric knowledge,82.5,17.5,160,406,20.563037872314453
